Junction,Elevation,Demand,Pattern
J511,105.08,1.763868462,DMA2_pat
J411,8.95,1.33356,DMA1_pat
J414,34.36,1.448796923,DMA1_pat
J415,65,0,
J416,42.6,0,
J417,37.38,1.936849615,DMA1_pat
J418,37.39,0,
J419,40.5,0,
J310,51.84,2.036224615,DMA4_pat
J311,55.95,1.772595,DMA4_pat
J312,68.48,0.113381538,DMA4_pat
J313,67.66,1.035083077,DMA4_pat
J314,14.94,2.156548846,DMA1_pat
J315,16.03,1.976200385,DMA1_pat
J316,12.98,0.93384,DMA1_pat
J318,53.67,2.404883077,DMA4_pat
J319,39.29,2.178615,DMA4_pat
J210,7.01,0.692307692,DMA1_pat
J211,11.27,2.373893077,DMA1_pat
J212,7.87,0.910046538,DMA1_pat
J214,8.67,1.312171154,DMA1_pat
J217,10.98,1.91778,DMA1_pat
J218,7.68,0.133760769,DMA1_pat
J219,52,1.481145,DMA5_pat
J110,15.92,1.171750385,DMA1_pat
J420,39.99,0,
J421,37.09,1.556741538,DMA1_pat
J422,38.81,0,
J1153,22.14,0.659483077,DMA1_pat
J1154,14.61,0.698355,DMA1_pat
J1155,15.54,2.074504615,DMA1_pat
J425,64.42,0,
J426,72.71,0,
J1157,22.21,2.465233846,DMA1_pat
J427,67.65,0,
J1158,28.25,0.567165,DMA1_pat
J428,16.2,1.737789231,DMA1_pat
J429,12.56,2.450008846,DMA1_pat
J320,46.73,0.609828462,DMA4_pat
J321,44.59,1.334681538,DMA4_pat
J322,48.02,0.265924615,DMA4_pat
J324,42.38,2.498536154,DMA4_pat
J1056,7.64,1.69044,DMA1_pat
J327,49.68,0.039259615,DMA4_pat
J1058,13.58,1.43796,DMA1_pat
J328,45.69,0.250130769,DMA4_pat
J329,44.05,0.257556923,DMA4_pat
J220,60,1.997210769,DMA5_pat
J221,77.07,0.711200769,DMA4_pat
J225,13.33,0.114123462,DMA1_pat
J226,11.1,0.739431923,DMA1_pat
J50,71.8,0.955025769,DMA4_pat
J51,72.42,0.752426538,DMA4_pat
J53,80,2.371428462,DMA5_pat
J54,80,2.449573846,DMA5_pat
J128,85.26,1.003435385,DMA2_pat
J55,71,0.6957,DMA5_pat
J129,62.85,0.401103462,DMA2_pat
J56,72,0.407053846,DMA5_pat
J57,59,1.616466923,DMA5_pat
J58,76,1.025183077,DMA5_pat
J59,57,1.031918077,DMA5_pat
J1160,24.91,1.781825769,DMA1_pat
J1161,25.25,0.815515385,DMA1_pat
J431,16.9,1.582946538,DMA1_pat
J432,19.88,0.518903077,DMA1_pat
J433,27.35,0.465033462,DMA1_pat
J434,16.48,1.458398077,DMA1_pat
J435,12.15,0.201786923,DMA1_pat
J436,17.68,1.144929231,DMA1_pat
J438,10.43,2.264325,DMA1_pat
J1169,55.42,0.653420769,DMA3_pat
J439,17.78,1.963030385,DMA1_pat
J330,58.25,0.947255769,DMA4_pat
J331,59.26,0.724163077,DMA4_pat
J332,36,1.986,DMA1_pat
J333,25.7,1.579355769,DMA1_pat
J334,29.28,1.569105,DMA1_pat
J335,25.08,1.071140769,DMA1_pat
J336,23.81,0.244935,DMA1_pat
J337,22.11,1.402600385,DMA1_pat
J231,71.9,1.736214231,DMA4_pat
J232,69.81,2.284294615,DMA4_pat
J233,74.23,0,
J234,64.06,0.045,DMA2_pat
J236,58,1.358401154,DMA5_pat
J237,73.14,2.29041,DMA5_pat
J130,54.52,1.075653462,DMA2_pat
J131,88.05,1.694869615,DMA2_pat
J132,74.55,1.256134615,DMA2_pat
J133,69.58,1.284343846,DMA2_pat
J60,55,1.157449615,DMA5_pat
J134,80.7,0.883681154,DMA2_pat
J135,70,1.012085769,DMA2_pat
J62,60,0.674329615,DMA5_pat
J64,80,0.138984231,DMA5_pat
J65,80,0.609613846,DMA5_pat
J66,72,2.447695385,DMA5_pat
J67,79,0.152290385,DMA5_pat
J68,73,0.975729231,DMA5_pat
J69,71,0.912488077,DMA5_pat
J1170,54.54,1.224736154,DMA3_pat
J441,69,0,
J444,29.46,1.186148077,DMA1_pat
J341,14.89,0.643168846,DMA1_pat
J344,54.7,1.57188,DMA3_pat
